"","HYBAS_ID","num"
"1",1040008480,51
"2",1040009450,28
"3",1040011660,11
"4",1040011670,39
"5",1040012680,253
"6",1040012690,21
"7",1040012810,63
"8",1040012820,915
"9",1040014500,328
"10",1040014920,25
"11",1040014930,77
"12",1040015030,254
"13",1040015860,146
"14",1040018120,25
"15",1040019430,18
"16",1040020570,265
"17",1040020580,18
"18",1040022430,95
"19",1040023310,30
"20",1040024080,286
"21",1040026800,41
"22",1040028960,35
"23",1040028970,105
"24",1040029430,32
"25",1040029700,29
"26",1040029710,10
"27",1040029810,163
"28",1040034260,86
"29",1040034270,21
"30",1040034610,249
"31",1040034900,149
"32",1040035590,10
"33",1040036860,27
"34",1040036870,177
"35",1040040050,14
"36",1040040200,12
"37",1040040240,39
"38",1040040320,15
"39",1040040340,15
"40",1040040520,27
"41",1040041020,13
"42",1040601190,14
"43",1040601200,32
"44",1040837890,309
"45",1040873640,21
"46",1040909890,34
"47",1041156960,53
"48",1041174950,16
"49",1041259940,140
"50",1041259950,16
"51",1041431480,18
"52",1041431680,35
"53",1041438780,24
"54",1041438860,66
"55",1041472390,28
"56",1041472430,32
"57",1041473880,35
"58",1041473950,100
"59",1041477980,45
"60",1041478080,17
"61",1041515680,309
"62",1041515780,43
"63",1041533130,20
"64",1041548760,216
"65",1041576090,135
"66",1041576130,219
"67",1041620200,38
"68",1041620260,12
"69",1041624310,16
"70",1041629370,64
"71",1041629430,53
"72",2040000010,2239
"73",2040003550,94
"74",2040003560,146
"75",2040004130,103
"76",2040004140,10
"77",2040004280,88
"78",2040004290,183
"79",2040005120,140
"80",2040005130,51
"81",2040005690,99
"82",2040006600,130
"83",2040007930,48
"84",2040007940,146
"85",2040008490,93
"86",2040008500,538
"87",2040009230,2353
"88",2040012730,2219
"89",2040014550,843
"90",2040016230,9535
"91",2040018240,88
"92",2040018360,445
"93",2040018370,231
"94",2040018460,94
"95",2040018470,211
"96",2040018840,276
"97",2040018850,174
"98",2040019150,330
"99",2040019160,481
"100",2040020320,3922
"101",2040021030,8463
"102",2040021040,1891
"103",2040022150,12360
"104",2040022160,9766
"105",2040023010,17584
"106",2040023020,10344
"107",2040024170,4281
"108",2040024180,75
"109",2040024230,4675
"110",2040026060,352
"111",2040026070,15
"112",2040026550,439
"113",2040026560,48
"114",2040026920,2166
"115",2040026930,844
"116",2040027320,149
"117",2040027330,2211
"118",2040028310,1364
"119",2040028320,519
"120",2040028660,1202
"121",2040028670,3964
"122",2040029940,230
"123",2040029950,131
"124",2040030060,356
"125",2040030100,630
"126",2040030110,2962
"127",2040031060,824
"128",2040031070,3364
"129",2040031490,1492
"130",2040031500,21971
"131",2040033320,2961
"132",2040033330,745
"133",2040033480,9653
"134",2040037990,558
"135",2040039390,92
"136",2040039400,19
"137",2040039590,32
"138",2040041120,119
"139",2040041840,13
"140",2040045150,1569
"141",2040046500,248
"142",2040047500,1320
"143",2040048590,66
"144",2040048790,159271
"145",2040054200,7464
"146",2040056770,678
"147",2040059370,101
"148",2040065840,11
"149",2040065960,16
"150",2040066030,18
"151",2040067740,10
"152",2040068680,16
"153",2040068720,26
"154",2040069150,67
"155",2040069160,78
"156",2040070050,473
"157",2040070060,32
"158",2040070510,20
"159",2040070520,82
"160",2040071700,50
"161",2040072590,19
"162",2040072920,12
"163",2040072930,37
"164",2040073580,33
"165",2040075170,343
"166",2040077470,22
"167",2040077580,136
"168",2040079320,26
"169",2040081260,34
"170",2040084130,40
"171",2040085500,19
"172",2040085590,44
"173",2040085620,12
"174",2040085630,13
"175",2040085670,19
"176",2040085690,25
"177",2040085700,12
"178",2040085710,18
"179",2040085720,252
"180",2040085730,10
"181",2040085930,27
"182",2040085960,90
"183",2040085990,38
"184",2040288980,29
"185",2040289120,100
"186",2040292580,11
"187",2040292690,11
"188",2040309560,22
"189",2040309610,57
"190",2040315940,116
"191",2040363700,11
"192",2040400100,39
"193",2040416390,93
"194",2040491970,37
"195",2040539930,5123
"196",2040540100,989
"197",2040543090,81
"198",2040543160,602
"199",2040548500,548
"200",2040555780,261
"201",2040785900,245
"202",2040816320,122
"203",2040816870,29
"204",2040828790,71
"205",3040024310,89
"206",3040386960,269
"207",3040481930,45
"208",3040483880,10
"209",3040496490,53
"210",3040679750,33
"211",3040679760,33
"212",4040000890,23
"213",4040003020,6037
"214",4040005050,2088
"215",4040005060,278
"216",4040007410,25
"217",4040009890,97
"218",4040012290,428
"219",4040012770,22
"220",4040012780,11
"221",4040012990,83
"222",4040013000,21
"223",4040015000,66
"224",4040015010,14
"225",4040015090,31
"226",4040017030,216
"227",4040018350,807
"228",4040023060,26
"229",4040023810,11
"230",4040025460,281
"231",4040027100,50
"232",4040027780,43
"233",4040027790,10
"234",4040027940,114
"235",4040027950,189
"236",4040028760,265
"237",4040029530,793
"238",4040031830,10
"239",4040037060,13
"240",4040039450,102
"241",4040045780,15
"242",4040046100,11
"243",4040046370,817
"244",4040047500,37
"245",4040048900,291
"246",4040050240,39
"247",4040050300,15
"248",4040095270,11
"249",4040169400,24
"250",4040223160,13
"251",4040234270,12
"252",4040298550,22
"253",4040484760,22
"254",4040545530,18
"255",4040627620,26
"256",4040748300,43
"257",4040773260,112
"258",4040783120,143
"259",4040839030,10
"260",4040960200,72
"261",4040960480,213
"262",4040975160,63
"263",4041043580,172
"264",4041108500,28
"265",4041108580,43
"266",4041128330,23
"267",4041144860,14
"268",4041144880,59
"269",5040000010,33
"270",5040007690,218
"271",5040011800,44
"272",5040014020,56
"273",5040017040,12
"274",5040017830,61
"275",5040022500,36
"276",5040031240,20
"277",5040038940,10
"278",5040041880,23
"279",5040049720,493
"280",5040055960,282
"281",5040056460,187
"282",5040056470,79
"283",5040056740,13
"284",5040056750,16
"285",5040057320,11
"286",5040057330,19
"287",5040057720,63
"288",5040059440,25
"289",5040059450,107
"290",5040061660,14
"291",5040061670,745
"292",5040064130,18
"293",5040064140,66
"294",5040065600,23
"295",5040067860,890
"296",5040068450,65
"297",5040068460,170
"298",5040069590,197
"299",5040069600,50
"300",5040069960,84
"301",5040069970,1743
"302",5040070700,222
"303",5040070710,4591
"304",5040073410,45
"305",5040073420,77
"306",5040076530,22
"307",5040076890,19
"308",5040077640,284
"309",5040082270,1497
"310",5040085040,1183
"311",5040087630,15
"312",5040491370,58
"313",5040491510,41
"314",5040511570,83
"315",5040524870,586
"316",5040533380,17
"317",5040533450,16
"318",5040591010,34
"319",5040591050,1783
"320",6040000010,26
"321",6040000740,293
"322",6040000750,86
"323",6040005190,22
"324",6040005490,148
"325",6040005500,33
"326",6040007010,33
"327",6040007960,147
"328",6040008320,62
"329",6040009770,44
"330",6040012800,21
"331",6040013420,16
"332",6040013430,45
"333",6040013750,64
"334",6040013760,557
"335",6040014330,43
"336",6040015940,17
"337",6040015950,15
"338",6040016720,26
"339",6040016760,71
"340",6040016970,26
"341",6040016980,110
"342",6040019090,15
"343",6040025130,28
"344",6040025140,21
"345",6040025420,43
"346",6040026140,68
"347",6040026990,16
"348",6040029280,13
"349",6040032290,131
"350",6040034810,113
"351",6040040460,159
"352",6040075390,20
"353",6040075410,18
"354",6040084750,20
"355",6040102250,77
"356",6040102330,10
"357",6040239720,83
"358",6040239820,26
"359",6040262110,47
"360",6040262220,28
"361",6040280400,172
"362",6040280410,158
"363",6040285930,20
"364",6040285990,73
"365",6040345000,14
"366",6040527670,47
"367",6040527680,12
"368",6040709820,14
"369",6040752460,20
"370",6040752470,73
"371",6040814820,277
"372",6040814830,37
"373",6040870370,35
"374",6040870380,17
"375",7040000010,290
"376",7040005410,31
"377",7040005420,104
"378",7040006390,85
"379",7040006400,108
"380",7040007380,61
"381",7040007390,41
"382",7040007830,65
"383",7040007840,82
"384",7040008720,1136
"385",7040013170,75
"386",7040013180,859
"387",7040013550,1085
"388",7040013560,383
"389",7040014040,107
"390",7040014050,41
"391",7040014200,247
"392",7040014210,28
"393",7040014250,954
"394",7040014930,106
"395",7040014940,333
"396",7040016260,530
"397",7040016270,376
"398",7040019010,16
"399",7040019200,11
"400",7040020100,31
"401",7040021740,27
"402",7040024300,10
"403",7040024580,124
"404",7040024600,31
"405",7040024830,23
"406",7040033480,100
"407",7040034520,145
"408",7040034530,494
"409",7040038340,1618
"410",7040039620,700
"411",7040039630,229
"412",7040039870,268
"413",7040039880,4661
"414",7040041050,436
"415",7040041060,619
"416",7040041400,647
"417",7040041410,1375
"418",7040042040,880
"419",7040043090,318
"420",7040043100,13
"421",7040043160,263
"422",7040043170,3258
"423",7040045890,282
"424",7040045900,312
"425",7040046590,429
"426",7040046600,134
"427",7040046750,216
"428",7040047060,64
"429",7040047070,294
"430",7040047850,793
"431",7040047860,62
"432",7040047970,3880
"433",7040047980,636
"434",7040048300,1994
"435",7040048310,30
"436",7040048410,2980
"437",7040048420,2280
"438",7040049270,1861
"439",7040049280,14
"440",7040049990,78
"441",7040050000,107
"442",7040050640,36
"443",7040050650,11
"444",7040050920,47
"445",7040050930,140
"446",7040054660,119
"447",7040054670,120
"448",7040059990,87
"449",7040064730,136
"450",7040065760,299
"451",7040070790,21
"452",7040072800,232
"453",7040073620,215
"454",7040073630,124
"455",7040073660,20
"456",7040073690,207
"457",7040073710,145
"458",7040073720,234
"459",7040073780,50
"460",7040073830,78
"461",7040073870,24
"462",7040192420,48
"463",7040192560,736
"464",7040194860,38
"465",7040194980,28
"466",7040282720,26
"467",7040282770,31
"468",7040374800,100
"469",7040374950,943
"470",7040379310,111
"471",7040379430,769
"472",7040388580,25
"473",7040388740,257
"474",7040392520,436
"475",7040392650,949
"476",7040394680,427
"477",7040394690,190
"478",7040395190,214
"479",7040395340,135
"480",7040402320,682
"481",7040402430,5367
"482",7040426310,96
"483",7040426320,475
"484",7040569640,2664
"485",7040569650,3308
"486",7040585110,101
"487",7040585120,126
"488",7040607990,20
"489",7040608130,68
"490",7040612640,6978
"491",7040612840,148
"492",7040632220,65
"493",7040686450,12121
"494",7040686540,450
"495",7040707710,400
"496",7040707810,1559
"497",7040741760,1724
"498",7040741770,73
"499",8040000810,20
"500",8040000820,106
"501",8040002260,36
"502",8040002270,37
"503",8040007180,12
"504",8040007190,41
"505",8040008390,49
"506",8040009560,12
"507",8040141480,22
"508",8040176200,115
"509",8040183760,17
"510",8040219290,36
"511",8040252760,33
"512",8040307300,34
